language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.08  T=0.08 s (3920.3 files/s 491249.2 lines/s)"
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/aztec/AztecDetectorResult.cpp,9,21,27
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/DecoderResult.h,9,18,27
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/StringUtils.h,13,16,27
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/FinderPattern.h,19,20,27
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AbstractExpandedDecoder.h,18,26,27
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/BinaryBitmap.h,12,18,26
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/Code93Reader.h,9,24,26
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/ExpandedRow.h,17,24,26
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AI01320xDecoder.cpp,6,0,26
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AI01weightDecoder.cpp,7,0,26
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/DecodedNumeric.h,19,26,26
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/ResultPoint.h,11,19,25
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/PerspectiveTransform.h,6,18,25
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/Str.h,7,19,25
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/reedsolomon/GenericGFPoly.h,10,20,25
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/DecodedInformation.h,18,26,25
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/encoder/MaskUtil.h,14,26,25
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/BitSource.h,9,40,24
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/DecoderResult.cpp,7,20,24
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/GreyscaleLuminanceSource.h,10,19,24
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/reedsolomon/ReedSolomonDecoder.h,6,18,24
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/multi/qrcode/detector/MultiDetector.cpp,7,16,24
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/Code128Reader.h,9,16,24
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/DataCharacter.h,17,20,24
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/Pair.h,15,17,24
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/BlockParsedResult.cpp,7,0,24
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/pdf417/decoder/Decoder.h,11,26,24
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/QRCodeReader.cpp,7,21,24
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/MultiFormatReader.h,9,18,23
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/Point.h,6,18,23
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/datamatrix/DataMatrixReader.cpp,11,20,23
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/BarcodeFormat.cpp,2,17,22
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/Binarizer.h,10,18,22
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/aztec/AztecDetectorResult.h,6,20,22
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/GlobalHistogramBinarizer.h,6,19,22
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/multi/qrcode/detector/MultiFinderPatternFinder.h,10,15,22
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/UPCEReader.h,10,16,22
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AI01392xDecoder.h,13,26,22
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/decoder/DataBlock.h,9,18,22
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/decoder/DataMask.h,9,18,22
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/detector/FinderPattern.h,7,19,22
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/EncodeHint.h,10,15,21
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/Exception.h,9,19,21
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/InvertedLuminanceSource.h,11,16,21
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/aztec/AztecReader.h,8,20,21
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/GridSampler.h,6,18,21
